id,Cursor,Amp,Width,ErrorRate,aligned(ErrorRate) for Cursor,aligned(ErrorRate) for Amp,aligned(ErrorRate) for Cursor*Amp,aligned(ErrorRate) for Width,aligned(ErrorRate) for Cursor*Width,aligned(ErrorRate) for Amp*Width,aligned(ErrorRate) for Cursor*Amp*Width,ART(ErrorRate) for Cursor,ART(ErrorRate) for Amp,ART(ErrorRate) for Cursor*Amp,ART(ErrorRate) for Width,ART(ErrorRate) for Cursor*Width,ART(ErrorRate) for Amp*Width,ART(ErrorRate) for Cursor*Amp*Width
1,4,2,3,0,-0.0641754858611338310515873015,-0.0413922625571923550595238095,-0.0576125513566773159722222223,-0.1003302237065643907738095238,-0.0451040318670101088293650794,-0.0645936478888574392857142857,-0.0554117373061562753968253968,276,405,309,151,360,275,318
1,4,3,1,0.1,-0.1006307477904669560515873015,-0.055626239410723620238095238,-0.1006386568986773579365079366,-0.038500529477627562500000000,-0.0938159643713740335317460318,-0.0731622445552261032738095239,-0.0849771296154948328373015872,100,323,91,435,127,236,148
1,4,3,2,0.0500000000000001,-0.0788904288558754631944444444,-0.0338859204761321273809523809,-0.0788983379640858650793650795,-0.0693334993589304788690476190,-0.0692442563047382897817460319,-0.0639650693349968056547619049,-0.0726920862172823792658730158,190.5,462.5,157.5,265.5,238.5,284.5,172.5
1,4,3,3,0.0500000000000001,-0.0282993371560376453373015872,0.0167051712237056904761904763,-0.0283072462642480472222222223,-0.0644540750014682050595238095,-0.0092278831619139231150793651,-0.0351607899478033375000000000,-0.0146188880052490343253968254,435.5,656.5,450.5,310.5,546.5,401.5,523.5
2,1,1,1,0.25,0.1645651463532563161706349207,0.0951862559115986717261904763,0.1205868164786600433531746031,0.1895717959437690589285714286,0.1684806472489143966269841270,0.1132536909761450770833333333,0.1194380874964456983134920636,945.5,853.5,896.5,947.5,948.5,880.5,899.5
2,1,1,2,0.1,0.0518771764284442625992063492,-0.0175017140132133818452380952,0.0078988465538479897817460316,0.0243105372030625961309523810,0.0219906528670165249007936507,0.0216618795414128997023809522,0.0347172422793460495039682541,756.5,490.5,615.5,675.5,654.5,661.5,711.5
2,1,1,3,0,-0.0219427901546801945436507936,-0.0913216805963378389880952380,-0.0659211200292764673611111112,-0.0952210967224374050595238095,-0.0718100636915366715277777778,-0.0162543340931637267857142857,-0.0354940933513974978174603174,490,173,248,169,193,510,417
2,1,2,1,0.263157894736842,0.0371722593739030411706349207,0.0228319139555178663690476191,0.0180048096262113368055555556,0.0621789089644157839285714286,0.0410877602695611216269841270,0.0223004840354739440476190477,0.0163068770444285182539682539,719.5,668.5,643.5,772.5,731.5,665.5,647.5
2,1,2,2,0.1,-0.0243132997620318981150793650,-0.0386536451804170729166666666,-0.0434807495097236024801587301,-0.0518799389874135645833333332,-0.0541998233234596358134920635,-0.0477380898761786761904761905,-0.0519226896437155734126984127,457.5,438.5,389.5,362.5,328.5,349.5,343.5
2,1,2,3,0.0500000000000001,0.0052501923014602268849206350,-0.0090901531169249479166666666,-0.0139172574462314774801587301,-0.0680281142662969836309523809,-0.0446170812353962500992063492,-0.0322915384485900321428571428,-0.0221133316900077091269841270,600,528,521,281,371,414,462
2,1,3,1,0.357142857142857,0.0862247663722858054563492064,0.0941057060297024904761904763,0.0735322497919476484126984126,0.1112314159627985482142857143,0.0901402672679438859126984127,0.0765697008852000074404761904,0.0763789113559448120039682541,843,845,811,879,859,819,810
2,1,3,2,0.105263157894737,-0.0455133587329885195436507936,-0.0376324190755718345238095237,-0.0582058753133266765873015874,-0.0730799979583701860119047618,-0.0753998822944162572420634921,-0.0677115679344365127976190477,-0.0765823309048327653769841269,377,445,302,239,181,248,168
2,1,3,3,0.1,0.0405572098453197625992063492,0.0484381495027364476190476191,0.0278646932649816055555555554,-0.0327210967224374479166666667,-0.0093100636915367143849206350,-0.0034278116687725803571428572,0.0056337408308788676587301588,729,751,695,450,540,561,609
2,2,1,1,0.1,-0.0076775553048957409722222222,-0.0476708869455441997023809523,0.0034782805657602731150793650,0.046714653086626187500000000,-0.0131850741010359069444444444,-0.0296034518809977943452380953,0.0118836178460192149801587302,539,382,590,742,522,442,621
2,2,1,2,0.1,0.0257810913116455983134920635,-0.0142122403290028604166666666,0.0369369271823016124007936507,0.0276000108872731175595238096,0.0328886119497758534722222221,0.0249513532256234211309523808,0.0307457087375633268849206351,677,506,734,688,696,671,689
2,2,1,3,0.0500000000000001,-0.0008498242124586766865079365,-0.0408431558531071354166666666,0.0103060116581973374007936507,-0.0447425719792067014880952381,0.0098685541459526570436507937,0.0342241906500669767857142857,-0.0130572345888899382936507937,558,426,625,406,611,718,540
2,2,2,1,0.105263157894737,-0.0657255552066106695436507936,-0.0506803418239866586309523809,-0.0652595453394554798611111111,-0.0113333468150887410714285714,-0.0712330740027508355158730158,-0.0512117717440305809523809523,-0.0636416233176975722222222223,268.5,355.5,255.5,562.5,220.5,326.5,290.5
2,2,2,2,0.1,-0.0206683656641271445436507936,-0.0056231522815031336309523809,-0.0202023557969719548611111111,-0.0188494460884996252976190475,-0.0135608450259968893849206350,-0.0147075969772647369047619048,-0.0203935170550929031746031745,508.5,558.5,487.5,516.5,512.5,530.5,468.5
2,2,2,3,0,-0.0741353664995490409722222222,-0.0590901531169250300595238095,-0.0736693566323938512896825397,-0.1180281142662970657738095238,-0.0634169881411377072420634920,-0.0822915384485901142857142857,-0.0641757667970949567460317461,236.5,294.5,190.5,73.5,272.5,173.5,282.5
2,2,3,1,0.176470588235294,-0.0107759876602941302579365079,0.0264905107981317404761904763,-0.0100794531977039111111111112,0.0436162207312277982142857143,-0.0162835064564342962301587301,0.0089545056536292574404761904,-0.0201027124997207606150793650,531,670,544,739,508,611,470
2,2,3,2,0.25,0.0988491781955219697420634921,0.1361156766539478404761904763,0.0995457126581121888888888888,0.1006680977711494889880952382,0.1059566988336522249007936507,0.1060365277950831622023809523,0.1059280923609714227182539684,860,905,869,858,882,876,880
2,2,3,3,0.2,0.1052495234213316375992063492,0.1425160218797575083333333334,0.1059460578839218567460317459,0.0613567756545836127976190476,0.1159679017797429713293650794,0.0906500607082484803571428571,0.1198157142957102378968253968,883.5,913.5,884.5,769.5,897.5,852.5,901.5
2,3,1,1,0.15,0.0673625606440179451388888889,0.0325922709491926431547619048,0.0712076700798504989087301586,0.1269778109813630303571428571,0.0621397951254071081349206349,0.0506597060137390485119047618,0.0845787168407828165674603175,789,681,807,894,777,767,841
2,3,1,2,0.15,0.0995994027492810951388888889,0.0648291130544557931547619048,0.1034445121851136489087301586,0.1066413642707317711309523810,0.1127322331214414042658730157,0.1039927066090820747023809522,0.0977002512758262034722222224,873,805,879,867,893,873,867
2,3,1,3,0.15,0.0878930535429318915674603175,0.0531227638481065895833333334,0.0917381629787644453373015872,0.0492233477220070235119047619,0.1079704947272533125992063492,0.1281901103512807017857142857,0.1005635548574928049603174603,848,775,855,751,887,910,872
2,3,2,1,0.25,0.0775547076782702379960317461,0.0978229630067174056547619048,0.0896932130543502375992063492,0.1371699580156153232142857143,0.0723319421596594009920634921,0.0972915330866734833333333334,0.0848070958385807591269841269,820.5,860.5,852.5,912.5,811.5,862.5,850.5
2,3,2,2,0.15,0.0154828613958976272817460318,0.0357511167243447949404761905,0.0276213667719776268849206349,0.0225248229173483032738095239,0.0286156917680579364087301586,0.0266666720285831916666666666,0.0275778035394217031746031747,633,685,691,671,682,679,672
2,3,2,3,0.15,0.0718216249715033201388888889,0.0920898802999504877976190476,0.0839601303475833197420634920,0.0331519191505784520833333333,0.0918990661558247411706349206,0.0688884949682854035714285714,0.0804618007055396162698412698,805,839,833,707,864,793,825
2,3,3,1,0.315789473684211,0.1197742270649727594246031747,0.1622637674692217869047619049,0.1317781182909310992063492063,0.1793894774023178446428571429,0.1145514615463619224206349207,0.1447277623247193038690476190,0.1232931887457682600198412699,897.5,938.5,912.5,940.5,895.5,927.5,903.5
2,3,3,2,0.368421052631579,0.2048938889648200094246031747,0.2473834293690690369047619049,0.2168977801907783492063492063,0.2119358504862706854166666668,0.2180267193369803185515873015,0.2173042805102043586309523809,0.2226856043326217183531746033,973.5,986.5,978.5,961.5,976.5,974.5,979.5
2,3,3,3,0.15,0.0581415915546278165674603175,0.1006311319588768440476190477,0.0701454827805861563492063491,0.0194718857337029485119047619,0.0782190327389492375992063492,0.0487651707873678160714285714,0.0648184205439015001984126984,769,867,801,665,823,763,786
2,4,1,1,0.15,0.0466040671881560403769841271,0.0143487454688250467261904763,0.0755814517562637453373015872,0.1087342855009954339285714286,0.0534188506072489628968253968,0.0324161805333714520833333333,0.0549537966972868308531746033,737.5,639.5,814.5,875.5,752.5,698.5,770.5
2,4,1,2,0.0500000000000001,-0.0304949303055781631944444444,-0.0627502520249091568452380952,-0.0015175457374704582341269843,-0.0209380008086331788690476190,-0.0208487577544409897817460319,-0.0235866584702828752976190478,-0.0164004621089427870039682538,419.5,275.5,570.5,504.5,490.5,465.5,493.5
2,4,1,3,0.1,0.0208939585833106260912698414,-0.0113613631360203675595238094,0.0498713431514183310515873015,-0.0152607792621199336309523809,0.0399654125774343483134920635,0.0637059833671537446428571429,0.0339821708418982775793650794,648,520,763,542,724,782,702
2,4,2,1,0.263157894736842,0.0875188541555745046626984128,0.1103020774595159806547619048,0.0940817886600310197420634920,0.1496490724684138982142857143,0.0943336375746674271825396825,0.1097706475394720583333333334,0.0990479164358254091269841270,847,882,857,924,867,878,871
2,4,2,2,0.15,0.0289453370294258903769841271,0.0517285603333673663690476191,0.0355082715338824054563492063,0.0385022665263708747023809525,0.0385915095805630637896825396,0.0426441156376057630952380952,0.0441849361585512484126984128,699,768,725,729,718,742,743
2,4,2,3,0,-0.0641754858611338310515873015,-0.0413922625571923550595238095,-0.0576125513566773159722222223,-0.1003302237065643907738095238,-0.0451040318670101088293650794,-0.0645936478888574392857142857,-0.0554117373061562753968253968,276,405,309,151,360,275,318
2,4,3,1,0.263157894736842,0.0625271469463750439484126985,0.107531655326118379761904762,0.0625192378381646420634920634,0.124657365259214437500000000,0.0693419303654679664682539682,0.0899956501816158967261904761,0.0781807651213471671626984128,774,877,791,892,803,851,819
2,4,3,2,0.0500000000000001,-0.0788904288558754631944444444,-0.0338859204761321273809523809,-0.0788983379640858650793650795,-0.0693334993589304788690476190,-0.0692442563047382897817460319,-0.0639650693349968056547619049,-0.0726920862172823792658730158,190.5,462.5,157.5,265.5,238.5,284.5,172.5
2,4,3,3,0.0526315789473685,-0.0256677582086692453373015872,0.0193367501710740904761904763,-0.0256756673168796472222222223,-0.0618224960540998050595238095,-0.0065963042145455231150793651,-0.0325292110004349375000000000,-0.0119873090578806343253968254,451,662,458,323,560,407,548
3,1,1,1,0.15,0.0645651463532563161706349207,-0.0048137440884013282738095237,0.0205868164786600433531746031,0.0895717959437690589285714286,0.0684806472489143966269841270,0.0132536909761450770833333333,0.0194380874964456983134920636,780.5,564.5,659.5,841.5,792.5,620.5,657.5
3,1,1,2,0.1,0.0518771764284442625992063492,-0.0175017140132133818452380952,0.0078988465538479897817460316,0.0243105372030625961309523810,0.0219906528670165249007936507,0.0216618795414128997023809522,0.0347172422793460495039682541,756.5,490.5,615.5,675.5,654.5,661.5,711.5
3,1,1,3,0,-0.0219427901546801945436507936,-0.0913216805963378389880952380,-0.0659211200292764673611111112,-0.0952210967224374050595238095,-0.0718100636915366715277777778,-0.0162543340931637267857142857,-0.0354940933513974978174603174,490,173,248,169,193,510,417
3,1,2,1,0.3,0.0740143646370610411706349207,0.0596740192186758663690476191,0.0548469148893693368055555556,0.0990210142275737839285714286,0.0779298655327191216269841270,0.0591425892986319440476190477,0.0531489823075865182539682539,808,796,774,855,817,777,764
